"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","2","brightness","18","even","dark","nuageux"
"1","1","brightness","18","even","light","éblouissant"
"2","3","brightness","18","even","light","illumination"
"3","2","brightness","18","even","ctrl","sentimental"
"4","1","brightness","18","even","light","ensoleillé"
"5","2","brightness","18","even","light","ébloui"
"6","1","brightness","18","even","light","brillant"
"7","1","brightness","18","even","ctrl","témoin"
"8","0","brightness","18","even","light","lumière"
"9","3","brightness","18","even","dark","opacifier"
"10","2","brightness","18","even","dark","brumeux"
"11","4","brightness","18","even","ctrl","peuple"
"12","0","brightness","18","even","light","ensoleiller"
"13","1","brightness","18","even","ctrl","généreux"
"14","1","brightness","18","even","dark","pénombre"
"15","1","brightness","18","even","ctrl","cacher"
"16","2","brightness","18","even","dark","ombrant"
"17","3","brightness","18","even","ctrl","assistant"
"18","3","brightness","18","even","dark","ombragé"
"19","1","brightness","18","even","ctrl","opposé"
"20","3","brightness","18","even","dark","opacité"
"21","3","brightness","18","even","dark","ombrager"
"22","0","brightness","18","even","ctrl","sésame"
"23","2","brightness","18","even","ctrl","conséquence"
"24","3","brightness","18","even","dark","térébrant"
"25","1","brightness","18","even","light","lumineux"
"26","1","brightness","18","even","light","luire"
"27","3","brightness","18","even","ctrl","brève"
"28","3","brightness","18","even","dark","foncé"
"29","3","brightness","18","even","dark","insalubre"
"30","2","brightness","18","even","ctrl","charmant"
"31","3","brightness","18","even","dark","obscurcir"
"32","2","brightness","18","even","dark","ténébreux"
"33","2","brightness","18","even","dark","sombre"
"34","0","brightness","18","even","ctrl","nourriture"
"35","3","brightness","18","even","dark","ténèbres"
"36","3","brightness","18","even","dark","noirceur"
"37","1","brightness","18","even","ctrl","mondial"
"38","3","brightness","18","even","dark","assombrir"
"39","1","brightness","18","even","ctrl","permettre"
"40","3","brightness","18","even","dark","enténébrer"
"41","1","brightness","18","even","ctrl","renforcer"
"42","1","brightness","18","even","ctrl","abstenir"
"43","2","brightness","18","even","ctrl","blond"
"44","2","brightness","18","even","ctrl","absent"
"45","1","brightness","18","even","light","luminosité"
"46","3","brightness","18","even","dark","obscur"
"47","2","brightness","18","even","light","étincelant"
"48","1","brightness","18","even","light","briller"
"49","4","brightness","18","even","light","blanc"
"50","2","brightness","18","even","dark","terne"
"51","1","brightness","18","even","light","éclairer"
"52","2","brightness","18","even","dark","ternir"
"53","3","brightness","18","even","dark","assombrissement"
"54","3","brightness","18","even","dark","noirci"
"55","0","brightness","18","even","ctrl","satisfaction"
"56","3","brightness","18","even","dark","noircir"
"57","3","brightness","18","even","dark","noir"
"58","1","brightness","18","even","ctrl","artistique"
"59","0","brightness","18","even","dark","nuit"
"60","1","brightness","18","even","light","illuminer"
"61","2","brightness","18","even","light","illuminant"
"62","2","brightness","18","even","ctrl","auberge"
"63","1","brightness","18","even","light","éclairé"
"64","1","brightness","18","even","ctrl","honnête"
"65","2","brightness","18","even","ctrl","dessin"
"66","2","brightness","18","even","ctrl","familier"
"67","2","brightness","18","even","ctrl","scandaleux"
"68","1","brightness","18","even","dark","ennuager"
"69","2","brightness","18","even","ctrl","abandonner"
"70","2","brightness","18","even","dark","opaque"
"71","2","brightness","18","even","light","blanchir"
"72","2","brightness","18","even","dark","ombrage"
"73","1","brightness","18","even","light","étinceler"
"74","2","brightness","18","even","ctrl","justifier"
"75","0","brightness","18","even","ctrl","fracasser"
"76","0","brightness","18","even","ctrl","décider"
"77","0","brightness","18","even","light","scintillement"
"78","1","brightness","18","even","light","illuminé"
"79","2","brightness","18","even","ctrl","paisible"
"80","1","brightness","18","even","light","éclaircie"
"81","1","brightness","18","even","light","éclatant"
"82","1","brightness","18","even","light","brillance"
"83","2","brightness","18","even","light","jour"
"84","3","brightness","18","even","dark","obscurité"
"85","3","brightness","18","even","dark","obscurcissement"
"86","1","brightness","18","even","light","luisant"
"87","2","brightness","18","even","dark","trouble"
"88","2","brightness","18","even","dark","terni"
"89","2","brightness","18","even","ctrl","mère"
"90","2","brightness","18","even","ctrl","photographe"
"91","2","brightness","18","even","light","blanchi"
"92","2","brightness","18","even","light","blanchissement"
"93","2","brightness","18","even","light","blanchiment"
"94","2","brightness","18","even","ctrl","personnel"
"95","2","brightness","18","even","light","scintillant"
"96","2","brightness","18","even","light","scintiller"
"97","2","brightness","18","even","ctrl","simulé"
"98","2","brightness","18","even","light","éblouir"
"99","2","brightness","18","even","dark","pénombre"
"100","3","brightness","18","even","dark","ombre"
"101","2","brightness","18","even","light","éclaircissement"
"102","2","brightness","18","even","ctrl","contraire"
"103","2","emotion","18","even","dark","terni"
"104","2","emotion","18","even","light","étincelant"
"105","1","emotion","18","even","ctrl","abandonner"
"106","2","emotion","18","even","light","éclaircie"
"107","3","emotion","18","even","light","scintillement"
"108","2","emotion","18","even","dark","ombrage"
"109","2","emotion","18","even","dark","noir"
"110","3","emotion","18","even","dark","nuit"
"111","2","emotion","18","even","light","blanchir"
"112","3","emotion","18","even","dark","pénombre"
"113","3","emotion","18","even","light","scintiller"
"114","2","emotion","18","even","ctrl","contraire"
"115","3","emotion","18","even","light","éclaircissement"
"116","4","emotion","18","even","ctrl","paisible"
"117","3","emotion","18","even","light","illuminer"
"118","2","emotion","18","even","dark","obscur"
"119","2","emotion","18","even","light","jour"
"120","2","emotion","18","even","light","luisant"
"121","2","emotion","18","even","dark","ombrant"
"122","2","emotion","18","even","ctrl","auberge"
"123","2","emotion","18","even","dark","obscurité"
"124","2","emotion","18","even","dark","foncé"
"125","2","emotion","18","even","light","blanchi"
"126","3","emotion","18","even","ctrl","permettre"
"127","2","emotion","18","even","dark","assombrir"
"128","4","emotion","18","even","ctrl","honnête"
"129","2","emotion","18","even","dark","ombragé"
"130","2","emotion","18","even","ctrl","simulé"
"131","2","emotion","18","even","ctrl","opposé"
"132","2","emotion","18","even","light","éblouir"
"133","2","emotion","18","even","dark","enténébrer"
"134","2","emotion","18","even","ctrl","sésame"
"135","3","emotion","18","even","ctrl","renforcer"
"136","2","emotion","18","even","light","brillance"
"137","2","emotion","18","even","ctrl","témoin"
