"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","3","brightness","17","odd","dark","ténébreux"
"1","2","brightness","17","odd","ctrl","contraire"
"2","1","brightness","17","odd","dark","ombrager"
"3","3","brightness","17","odd","dark","obscurcir"
"4","2","brightness","17","odd","dark","ennuager"
"5","1","brightness","17","odd","light","brillance"
"6","2","brightness","17","odd","dark","nuit"
"7","1","brightness","17","odd","light","jour"
"8","3","brightness","17","odd","dark","terne"
"9","3","brightness","17","odd","dark","assombrir"
"10","1","brightness","17","odd","light","luminosité"
"11","3","brightness","17","odd","dark","pénombre"
"12","0","brightness","17","odd","ctrl","paisible"
"13","4","brightness","17","odd","dark","obscur"
"14","1","brightness","17","odd","ctrl","généreux"
"15","1","brightness","17","odd","light","éclairé"
"16","4","brightness","17","odd","dark","sombre"
"17","1","brightness","17","odd","ctrl","assistant"
"18","4","brightness","17","odd","ctrl","fracasser"
"19","1","brightness","17","odd","light","étincelant"
"20","3","brightness","17","odd","dark","ternir"
"21","3","brightness","17","odd","dark","enténébrer"
"22","2","brightness","17","odd","dark","ombrant"
"23","1","brightness","17","odd","ctrl","honnête"
"24","1","brightness","17","odd","light","briller"
"25","3","brightness","17","odd","dark","assombrissement"
"26","4","brightness","17","odd","dark","insalubre"
"27","2","brightness","17","odd","dark","opacité"
"28","0","brightness","17","odd","ctrl","mère"
"29","2","brightness","17","odd","light","blanchissement"
"30","2","brightness","17","odd","ctrl","auberge"
"31","0","brightness","17","odd","light","illumination"
"32","3","brightness","17","odd","ctrl","absent"
"33","2","brightness","17","odd","ctrl","brève"
"34","1","brightness","17","odd","light","ébloui"
"35","2","brightness","17","odd","dark","brumeux"
"36","3","brightness","17","odd","ctrl","simulé"
"37","4","brightness","17","odd","dark","noirceur"
"38","1","brightness","17","odd","light","illuminé"
"39","1","brightness","17","odd","light","lumière"
"40","1","brightness","17","odd","light","scintillement"
"41","2","brightness","17","odd","ctrl","photographe"
"42","4","brightness","17","odd","ctrl","abandonner"
"43","1","brightness","17","odd","ctrl","renforcer"
"44","2","brightness","17","odd","light","blanchir"
"45","0","brightness","17","odd","light","ensoleillé"
"46","2","brightness","17","odd","ctrl","justifier"
"47","1","brightness","17","odd","light","éclatant"
"48","3","brightness","17","odd","ctrl","personnel"
"49","2","brightness","17","odd","dark","opaque"
"50","3","brightness","17","odd","ctrl","abstenir"
"51","2","brightness","17","odd","ctrl","opposé"
"52","2","brightness","17","odd","ctrl","témoin"
"53","2","brightness","17","odd","ctrl","familier"
"54","1","brightness","17","odd","light","blanc"
"55","1","brightness","17","odd","ctrl","nourriture"
"56","2","brightness","17","odd","dark","noirci"
"57","1","brightness","17","odd","ctrl","charmant"
"58","3","brightness","17","odd","dark","obscurcissement"
"59","2","brightness","17","odd","dark","ombrage"
"60","1","brightness","17","odd","light","scintillant"
"61","2","brightness","17","odd","dark","trouble"
"62","2","brightness","17","odd","ctrl","sésame"
"63","0","brightness","17","odd","ctrl","artistique"
"64","1","brightness","17","odd","light","lumineux"
"65","1","brightness","17","odd","ctrl","mondial"
"66","2","brightness","17","odd","ctrl","satisfaction"
